City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Cayenne,GF,4.9333,-52.3333,76.08,90,90,1.01,overcast clouds
271,Tres Passos,BR,-27.4556,-53.9319,62.6,98,100,5.08,overcast clouds
272,Zyryanka,RU,65.75,150.85,50.74,35,98,2.8,overcast clouds
273,Husavik,IS,66.0449,-17.3389,33.71,77,87,4.25,overcast clouds
274,Middle Island,US,40.8843,-72.9373,62.17,82,1,1.01,clear sky
275,Kruisfontein,ZA,-34.0033,24.7314,53.49,55,4,4.76,clear sky
276,Weiz,AT,47.2167,15.6167,61.27,72,100,2.59,overcast clouds
277,Maniitsoq,GL,65.4167,-52.9,29.59,68,64,14.12,broken clouds
278,Paraiso,CR,9.8383,-83.8656,68.86,96,100,3.0,overcast clouds
279,Dangtu,CN,31.5723,118.4928,84.25,51,11,13.06,few clouds
280,Pangnirtung,CA,66.1451,-65.7125,13.98,94,100,7.74,light snow
281,Thinadhoo,MV,0.5333,72.9333,84.38,71,94,10.33,overcast clouds
282,Mitsamiouli,KM,-11.3847,43.2844,81.12,62,5,8.79,clear sky
283,Luebo,CD,-5.35,21.4167,77.92,52,100,2.46,overcast clouds
284,Eston,CA,51.1501,-108.7514,39.09,88,100,3.15,overcast clouds
285,Zuwarah,LY,32.9312,12.082,72.3,58,1,6.73,clear sky
286,Nyzhni Sirohozy,UA,46.8484,34.3804,64.81,55,100,17.07,overcast clouds
287,Dharmadam,IN,11.7833,75.4333,83.62,75,41,6.17,scattered clouds
288,Kidal,ML,18.4411,1.4078,95.43,20,99,4.9,overcast clouds
289,Mweka,CD,-4.85,21.5667,77.54,55,100,2.89,overcast clouds
290,Yubari,JP,43.0378,141.9578,62.94,82,100,3.96,overcast clouds
291,Jinxiang,CN,27.4327,120.6062,66.22,94,100,12.06,moderate rain
292,Omboue,GA,-1.5746,9.2618,75.87,92,100,4.25,light rain
293,Codrington,AU,-38.2667,141.9667,60.26,57,5,7.45,clear sky
294,Mastic Beach,US,40.7668,-72.8521,61.99,87,1,1.01,clear sky
295,Malinovoye Ozero,RU,51.6753,79.7825,71.65,41,100,6.11,overcast clouds
296,Chicama,PE,-7.8447,-79.1469,63.72,87,45,4.61,scattered clouds
297,Linjiang,CN,41.8069,126.9078,81.61,32,75,8.34,broken clouds
298,Marquette,US,46.5333,-87.6335,65.77,96,98,8.84,overcast clouds
299,Marzuq,YE,14.4,46.4667,90.37,12,92,9.51,overcast clouds
300,Esmeraldas,BR,-19.7625,-44.3139,63.46,56,92,2.28,overcast clouds
301,Kholtoson,RU,50.2981,103.3097,41.68,41,100,14.07,overcast clouds
302,Usinsk,RU,65.9939,57.5281,71.91,43,100,24.72,overcast clouds
303,Alofi,NU,-19.0595,-169.9187,78.69,94,100,4.61,light rain
304,Airai,TL,-8.9266,125.4092,69.96,62,100,2.44,overcast clouds
305,Gat,IL,31.61,34.7642,75.78,53,0,12.01,clear sky
306,Yatou,CN,37.15,122.3833,71.55,57,0,15.12,clear sky
307,Sambava,MG,-14.2667,50.1667,75.15,75,100,12.8,light rain
308,Athens,GR,37.9795,23.7162,75.27,49,0,1.99,clear sky
309,Riyadh,SA,24.6877,46.7219,102.34,17,0,0.0,clear sky
310,Kawalu,ID,-7.3817,108.2082,88.59,49,78,5.5,broken clouds
311,Richards Bay,ZA,-28.783,32.0377,65.37,78,90,7.56,light rain
