City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Kamyshin,RU,77.67,overcast clouds,50.0983,45.416,Guest House Aviator
436,Honiara,SB,79.83,overcast clouds,-9.4333,159.95,Heritage Park Hotel
439,Wattegama,LK,85.12,scattered clouds,6.7989,81.4808,
441,Kolosovka,RU,80.55,clear sky,56.4678,73.611,Kolosovskaya Gostinitsa
442,Atar,MR,78.24,clear sky,20.5169,-13.0499,Oumou Elghoura
443,Merauke,ID,81.45,overcast clouds,-8.4667,140.3333,
444,Komsomolskiy,UZ,83.12,broken clouds,40.4272,71.7189,Ikathouse
445,Meulaboh,ID,86.77,broken clouds,4.1363,96.1285,Kost Pria
450,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
451,Wewak,PG,84.52,clear sky,-3.5534,143.6268,In Wewak Boutique Hotel
454,Basoko,CD,75.63,overcast clouds,1.2391,23.616,Jackyna Hotel
455,Saint-Pierre,RE,80.24,broken clouds,-21.3393,55.4781,Lindsey Hôtel
456,Undory,RU,76.24,overcast clouds,54.6085,48.3928,"Serebryanyy Istochnik, Dom Otdykha"
457,Itupiranga,BR,79.12,scattered clouds,-5.1347,-49.3267,Hotel Panorama
460,Moratuwa,LK,87.82,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
461,Huaidian,CN,88.93,broken clouds,33.4333,115.0333,Xihuan Hotel
466,Tagusao,PH,84.36,overcast clouds,9.1924,117.8141,Toledo
467,Isangel,VU,75.31,scattered clouds,-19.55,169.2667,Tanna Lodge
468,Talkha,EG,77.38,clear sky,31.0539,31.3779,Almadiafah
469,Erzincan,TR,79.65,overcast clouds,39.75,39.5,Eriza Boutique Hotel
476,Ternate,ID,79.2,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
480,Tual,ID,80.74,light rain,-5.6667,132.75,Grand Vilia Hotel
482,Laiwu,CN,88.92,broken clouds,36.1928,117.6569,Hanting Hotel Laiwu Yinzuo Mall
485,Puerto Escondido,MX,82.24,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
486,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
491,Matara,LK,83.79,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
492,Oktyabrskoye,RU,87.94,scattered clouds,43.0645,44.7417,Prolesok Mini-hotel
493,San Carlos,VE,77.47,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
500,Pangai,TO,80.71,light rain,-19.8,-174.35,Ha'apai Beach Resort
505,Jibuti,DJ,89.2,clear sky,11.5,42.5,Orchid Main Camp Goubet
506,Samarai,PG,80.19,overcast clouds,-10.6167,150.6667,Nuli Sapi
512,Key West,US,77.0,overcast clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
518,Galle,LK,83.71,overcast clouds,6.0367,80.217,Amangalla
521,Vaitape,PF,81.72,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
527,Tezu,IN,79.52,overcast clouds,27.9167,96.1667,Circuit House
